,rpn/num_neg_anchors,roi_head/num_fg_samples,roi_head/num_bg_samples,fast_rcnn/cls_accuracy,fast_rcnn/fg_cls_accuracy,fast_rcnn/false_negative,rank_data_time,data_time,total_loss,loss_cls,loss_box_reg,loss_rpn_cls,loss_rpn_loc,lr,time,eta_seconds,bbox/AP,bbox/AP50,bbox/AP75,bbox/APs,bbox/APm,bbox/APl,bbox/AP-BJTU,bbox/AP-FHY,bbox/AP-MH,bbox/AP-TSG,bbox/AP-TYHT,bbox/AP-ZX,rpn/num_pos_anchors
12,251.75,10.5,245.5,0.96142578125,0.029411764815449715,0.8913043737411499,0.035147812217473984,0.035147812217473984,0.312962144613266,0.13516634702682495,0.14271248877048492,0.0306527279317379,0.009793693199753761,0.0018924357136711478,0.2984272837638855,1328.4144287109375,43.02132034301758,83.02889251708984,37.83121871948242,45.0,45.059043884277344,44.55118179321289,51.842041015625,37.10314178466797,41.313419342041016,27.053730010986328,50.2942008972168,50.521392822265625,4.25
13,250.0,9.25,246.75,0.9638671875,0.0,1.0,0.019794419407844543,0.019794419407844543,0.3719369173049927,0.14530541002750397,0.140703946352005,0.04519711434841156,0.013796336948871613,0.0020379519555717707,0.29517874121665955,1335.6346435546875,46.152950286865234,82.24201202392578,47.5207405090332,50.0,49.443450927734375,47.69114685058594,55.11771774291992,36.59485626220703,40.65456008911133,28.771839141845703,67.99340057373047,47.78532409667969,6.0
14,248.25,9.75,246.25,0.96435546875,0.010416666977107525,0.8146341443061829,0.026896296069025993,0.026896296069025993,0.30338039994239807,0.12206906080245972,0.13126346468925476,0.02543150633573532,0.01778636872768402,0.0021834683138877153,0.2939566969871521,1336.076171875,45.58778762817383,83.4691390991211,47.67023468017578,40.0,47.384883880615234,47.32557678222656,53.45328903198242,36.32743453979492,43.002254486083984,27.453794479370117,62.406410217285156,50.883541107177734,7.75
15,246.375,11.875,244.125,0.96484375,0.22102564573287964,0.672084629535675,0.034538350999355316,0.034538350999355316,0.3203832507133484,0.12529203295707703,0.14887627959251404,0.01670985296368599,0.022960223257541656,0.00232898467220366,0.28698229789733887,1330.3907470703125,45.76894760131836,82.14190673828125,44.30216598510742,50.0,48.83354949951172,47.327239990234375,55.42218017578125,35.48496627807617,40.242767333984375,31.384401321411133,64.99009704589844,47.08926010131836,9.625
16,250.5,11.625,244.375,0.9638671875,0.30069443583488464,0.5601134896278381,0.02814292721450329,0.02814292721450329,0.30038905143737793,0.12624171376228333,0.13403034210205078,0.019287873059511185,0.012768232263624668,0.002474500797688961,0.2248881310224533,1317.8035888671875,45.63936233520508,85.4953384399414,43.03652572631836,50.0,47.26765060424805,47.121925354003906,54.725921630859375,40.81276321411133,40.04860305786133,32.08711242675781,58.78712844848633,47.3746452331543,5.5
17,251.125,10.5,245.5,0.9716796875,0.36499518156051636,0.4549984037876129,0.030068662017583847,0.030068662017583847,0.23780138790607452,0.08877275884151459,0.1142086386680603,0.014738151803612709,0.010704461485147476,0.0026200171560049057,0.2504705786705017,1300.8070068359375,,,,,,,,,,,,,4.875
18,250.625,12.375,243.625,0.96630859375,0.41491803526878357,0.4621127247810364,0.03173369914293289,0.03173369914293289,0.29192396998405457,0.10675154626369476,0.14289450645446777,0.016266554594039917,0.01155645027756691,0.0027655335143208504,0.24501603841781616,1291.7269287109375,,,,,,,,,,,,,5.375
19,251.0,13.25,242.75,0.95947265625,0.35450267791748047,0.509200394153595,0.021590953692793846,0.021590953692793846,0.300775408744812,0.1264517903327942,0.15350818634033203,0.012375365942716599,0.009436400607228279,0.0029110496398061514,0.29370036721229553,1287.6861572265625,,,,,,,,,,,,,5.0
20,248.25,12.75,243.25,0.962890625,0.346230149269104,0.6120071411132812,0.03080153465270996,0.03080153465270996,0.30945801734924316,0.14004981517791748,0.14232078194618225,0.013009017333388329,0.01781725510954857,0.003056565998122096,0.3384762108325958,1291.498779296875,,,,,,,,,,,,,7.75
21,250.25,14.75,241.25,0.95361328125,0.3229166567325592,0.5641447305679321,0.02928691729903221,0.02928691729903221,0.32925134897232056,0.14452672004699707,0.16495952010154724,0.011776397004723549,0.010898357257246971,0.003202082123607397,0.285035103559494,1287.5421142578125,,,,,,,,,,,,,5.75
22,247.875,12.625,243.375,0.96728515625,0.45299285650253296,0.4727950990200043,0.012944461777806282,0.012944461777806282,0.28061529994010925,0.09903855621814728,0.12098747491836548,0.013503378257155418,0.022836286574602127,0.0033475984819233418,0.2978766858577728,1283.86865234375,,,,,,,,,,,,,8.125
23,249.5,13.5,242.5,0.96484375,0.3973684310913086,0.4817400574684143,0.021960409358143806,0.021960409358143806,0.3252144455909729,0.11748217046260834,0.15233340859413147,0.01601875014603138,0.014498405158519745,0.0034931148402392864,0.2958623170852661,1279.0400390625,,,,,,,,,,,,,6.5
24,251.5,13.0,243.0,0.97021484375,0.48968008160591125,0.49193549156188965,0.04410568252205849,0.04410568252205849,0.26054927706718445,0.10260230302810669,0.13324770331382751,0.009571481496095657,0.009539805352687836,0.0036386309657245874,0.25913798809051514,1272.55712890625,,,,,,,,,,,,,4.5
25,248.25,13.25,242.75,0.96484375,0.4321253001689911,0.546312153339386,0.026413924992084503,0.026413924992084503,0.30337125062942505,0.11531347036361694,0.15195241570472717,0.015951968729496002,0.016756268218159676,0.003784147324040532,0.2533152401447296,1263.300048828125,,,,,,,,,,,,,7.75
